model_name,biomarker_set,accuracy,precision,recall,f1,AUC
neural_network,zhao,0.9617117117117118,0.9428362573099415,0.9772222222222222,0.9587065690291496,0.9641066434201445
xgboost,zhao,0.9451951951951951,0.9241607721483882,0.9814889788573999,0.9483725134031682,0.9886435221018232
knn,zhao,0.9536036036036035,0.9436727896286718,0.9830065359477125,0.957576560517737,0.990202936876505
decision_tree,ponti,0.9101351351351351,0.9109086895627817,0.9099450549450548,0.8990701515121019,0.9300117641359901
logistic_regression,ponti,0.9261261261261261,0.9221719908058919,0.9106171915459841,0.9197211078167093,0.9836850671202535
neural_network,ponti,0.9672672672672672,0.9454890520107911,0.9880701754385965,0.9648235453399847,0.9676951754385964
xgboost,ponti,0.9317567567567566,0.9029657477025899,0.9470367094206104,0.933550882016252,0.9782367167361363
knn,ponti,0.9210960960960961,0.9243155236576289,0.9103535353535352,0.9076361345053297,0.9753030264894301
decision_tree,semiz,0.9264264264264263,0.9105201729814733,0.9382008943928449,0.930896663470193,0.9264102861040747
logistic_regression,semiz,0.9425675675675675,0.9327556390977444,0.9540469824293355,0.9340525346533022,0.987111734960972
neural_network,semiz,0.9753753753753752,0.960329131652661,0.9893557422969188,0.9740368518840196,0.9768043353705119
xgboost,semiz,0.9507507507507507,0.9323774094618082,0.9705661211853162,0.9453008899958284,0.9860523674382033
knn,semiz,0.9206456456456458,0.9373575650355835,0.8778352130325814,0.9157038034415512,0.9791400670029817
decision_tree,zhao,0.9454204204204204,0.9217563138615772,0.9593328017012228,0.9374446805454314,0.952973601143009
logistic_regression,zhao,0.9508258258258259,0.9340098893194868,0.9712223493516399,0.9530187562695301,0.9905508248919765
neural_network,zhao,0.9644144144144144,0.933988058724901,0.9906926406926407,0.9594837750325557,0.9697314135140223
xgboost,zhao,0.9508258258258258,0.9236455052515424,0.9834733893557424,0.9411029142626323,0.9843068866285455
knn,zhao,0.9591591591591591,0.9265252966175028,0.9796825396825397,0.9525726738743184,0.9894496138536386
decision_tree,ponti,0.9125375375375377,0.8943616252168883,0.9212302815863188,0.8904135362756053,0.9203547701975529
logistic_regression,ponti,0.9292042042042041,0.9253186274509805,0.9223622782446311,0.9226960648208345,0.985063047916435
neural_network,ponti,0.9538288288288289,0.9313241436925648,0.9746126185027787,0.9504767104767105,0.9581615315462569
xgboost,ponti,0.929129129129129,0.9142755305783641,0.9406575021312873,0.9301248078504132,0.9768780239368473
knn,ponti,0.9151651651651651,0.9214178749302924,0.9151284461152882,0.8960845315284646,0.9754753842326405
decision_tree,semiz,0.9237237237237238,0.9359196157486641,0.9444404761904762,0.9287273905314983,0.9402705059722605
logistic_regression,semiz,0.9372372372372372,0.9241390774463867,0.9385317460317459,0.9347358967670415,0.9862243847729018
neural_network,semiz,0.981081081081081,0.9662870945479641,1.0,0.9822283272283272,0.9807163742690058
xgboost,semiz,0.9538288288288287,0.9385696862477049,0.956780303030303,0.9501230521614616,0.989940343139104
knn,semiz,0.9262012012012011,0.9257158630842841,0.8625743087957046,0.9117688952125947,0.9802639818686647
decision_tree,zhao,0.9506756756756756,0.9099089189104669,0.9710688405797102,0.9374926563721131,0.938212418386567
logistic_regression,zhao,0.9562312312312311,0.9304547297387854,0.9648757309941521,0.9505740005875831,0.9865006872642322
neural_network,zhao,0.9696696696696698,0.9530650154798762,0.9882352941176471,0.9699116672800884,0.9700992677772863
xgboost,zhao,0.9537537537537537,0.9136180692372642,0.9778838808250573,0.9408995141940759,0.9854252051697872
knn,zhao,0.9562312312312311,0.9276671694318754,0.9670815295815297,0.9585213032581453,0.9924442065502438
