model_name,biomarker_set,accuracy,precision,recall,f1,AUC,TP,FP,TN,FN
decision_tree,semiz,0.9207650273224044,0.9096045197740112,0.9252873563218391,0.9173789173789174,0.9405609271455392,161,16,176,13
logistic_regression,semiz,0.9398907103825137,0.9269662921348315,0.9482758620689655,0.9375000000000001,0.9875864091427816,165,13,179,9
neural_network,semiz,0.9755255255255255,0.9663043478260869,0.9823529411764707,0.9728500275350562,0.9745035601653249,171,6,186,3
xgboost,semiz,0.9508196721311475,0.9333333333333333,0.9655172413793104,0.9491525423728815,0.9873240036644642,168,12,180,6
knn,semiz,0.9262295081967213,0.9298245614035088,0.9137931034482759,0.9217391304347825,0.9790710449979867,159,12,180,15
decision_tree,zhao,0.9316939890710383,0.9027027027027027,0.9597701149425287,0.9303621169916434,0.947464977121453,167,18,174,7
logistic_regression,zhao,0.953551912568306,0.9337016574585635,0.9712643678160919,0.952112676056338,0.9841074800438863,169,12,180,5
neural_network,zhao,0.9672672672672672,0.9528354978354978,0.9765570175438597,0.9637031414075675,0.9679538429406851,170,8,184,4
xgboost,zhao,0.953551912568306,0.9243243243243243,0.9827586206896551,0.9526462395543176,0.985108827522237,171,14,178,3
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9895360403461538,170,12,180,4
decision_tree,ponti,0.9344262295081968,0.9166666666666666,0.9482758620689655,0.9322033898305084,0.9257623945840733,165,15,177,9
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9867979312139529,161,13,179,13
neural_network,ponti,0.9593093093093092,0.9192543859649124,1.0,0.9557887318903104,0.9640894130024564,174,15,177,0
xgboost,ponti,0.9180327868852459,0.9,0.9310344827586207,0.9152542372881356,0.9812167946325261,162,18,174,12
knn,ponti,0.9153005464480874,0.9181286549707602,0.9022988505747126,0.9101449275362319,0.9785807547622059,157,14,178,17
decision_tree,semiz,0.9234972677595629,0.9101123595505618,0.9310344827586207,0.9204545454545454,0.9437320375067717,162,16,176,12
logistic_regression,semiz,0.9371584699453552,0.9265536723163842,0.9425287356321839,0.9344729344729344,0.9905447016116353,164,13,179,10
neural_network,semiz,0.9727477477477476,0.9621125730994151,0.9857142857142858,0.9729259800097712,0.974418479911901,171,7,185,3
xgboost,semiz,0.9480874316939891,0.9329608938547486,0.9597701149425287,0.9461756373937676,0.9863837111988569,167,12,180,7
knn,semiz,0.9153005464480874,0.9333333333333333,0.8850574712643678,0.9085545722713864,0.978015089807853,154,11,181,20
decision_tree,zhao,0.9289617486338798,0.9021739130434783,0.9540229885057471,0.9273743016759777,0.9444694299564571,166,18,174,8
logistic_regression,zhao,0.953551912568306,0.9337016574585635,0.9712643678160919,0.952112676056338,0.9872034356545226,169,12,180,5
neural_network,zhao,0.9647147147147146,0.9586257309941519,0.9749257278669043,0.9657704134484322,0.9657539347477428,169,8,184,5
xgboost,zhao,0.9480874316939891,0.918918918918919,0.9770114942528736,0.947075208913649,0.9858304135478049,170,15,177,4
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9913006917253787,170,12,180,4
decision_tree,ponti,0.8934426229508197,0.8813559322033898,0.896551724137931,0.888888888888889,0.937032292612788,156,21,171,18
logistic_regression,ponti,0.9289617486338798,0.9252873563218391,0.9252873563218391,0.9252873563218391,0.9832695091216385,161,13,179,13
neural_network,ponti,0.9645645645645645,0.9461988304093568,0.9839181286549706,0.9639389600405387,0.965260309865573,171,10,182,3
xgboost,ponti,0.9234972677595629,0.9101123595505618,0.9310344827586207,0.9204545454545454,0.9804188056955084,162,16,176,12
knn,ponti,0.9180327868852459,0.9235294117647059,0.9022988505747126,0.9127906976744186,0.9778153183470184,157,13,179,17
decision_tree,semiz,0.9234972677595629,0.9055555555555556,0.9367816091954023,0.9209039548022598,0.9345914571969139,163,17,175,11
logistic_regression,semiz,0.9344262295081968,0.9261363636363636,0.9367816091954023,0.9314285714285715,0.9869775354085266,163,13,179,11
neural_network,semiz,0.9645645645645644,0.9566706539074961,0.9751515151515152,0.9646594069584383,0.9659691340651093,169,8,184,5
xgboost,semiz,0.9562841530054644,0.9293478260869565,0.9827586206896551,0.9553072625698323,0.9884502863276923,171,13,179,3
knn,semiz,0.9153005464480874,0.9281437125748503,0.8908045977011494,0.909090909090909,0.9801571326924672,155,12,180,19
decision_tree,zhao,0.9262295081967213,0.9106145251396648,0.9367816091954023,0.9235127478753541,0.9611750475043819,163,16,176,11
logistic_regression,zhao,0.9562841530054644,0.9388888888888889,0.9712643678160919,0.9548022598870056,0.9873662518037518,169,11,181,5
neural_network,zhao,0.9727477477477476,0.949005348516218,0.9923076923076923,0.9691500502338414,0.9733434511824605,173,9,183,1
xgboost,zhao,0.9508196721311475,0.9193548387096774,0.9827586206896551,0.95,0.9849439637029487,171,15,177,3
knn,zhao,0.9562841530054644,0.9340659340659341,0.9770114942528736,0.9550561797752809,0.9897591746250157,170,12,180,4
decision_tree,ponti,0.912568306010929,0.8858695652173914,0.9367816091954023,0.9106145251396649,0.9090598621364874,163,21,171,11
logistic_regression,ponti,0.9234972677595629,0.9244186046511628,0.9137931034482759,0.9190751445086706,0.9828260267424355,159,13,179,15
neural_network,ponti,0.9673423423423422,0.9459763993316624,0.9902380952380951,0.9671931839673775,0.9686382930365129,172,10,182,2
xgboost,ponti,0.9207650273224044,0.9050279329608939,0.9310344827586207,0.9178470254957508,0.9765192753302694,162,17,175,12
knn,ponti,0.9180327868852459,0.9235294117647059,0.9022988505747126,0.9127906976744186,0.9784496504074551,157,13,179,17
decision_tree,semiz,0.9344262295081968,0.9261363636363636,0.9367816091954023,0.9314285714285715,0.9440639970819559,163,13,179,11
logistic_regression,semiz,0.9371584699453552,0.9217877094972067,0.9482758620689655,0.9348441926345609,0.9825142509807128,165,14,178,9
neural_network,semiz,0.9837087087087089,0.9634698737794712,1.0,0.9806705030389242,0.985759109311741,174,6,186,0
